#LIBRARY    ENDF/B-VIII.0
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 14821.3     60.3123      Lin-Lin
 14823.1     55.4832      Lin-Lin
 14824.8     51.0772      Lin-Lin
 14826.5     47.0873      Lin-Lin
 14828.2     43.4905      Lin-Lin
 14830       40.2572      Lin-Lin
 14831.7     37.3538      Lin-Lin
 14833       35.3425      Lin-Lin
 14834.5     33.2676      Lin-Lin
 14836       31.3733      Lin-Lin
 14837.5     29.6418      Lin-Lin
 14839       28.0567      Lin-Lin
 14840.4     26.6036      Lin-Lin
 14841.9     25.2692      Lin-Lin
 14843.4     24.0417      Lin-Lin
 14845       22.8503      Lin-Lin
 14846.6     21.7         Lin-Lin
 14848.3     20.6451      Lin-Lin
 14850.8     19.2202      Lin-Lin
 14853.2     17.9588      Lin-Lin
 14855.7     16.8372      Lin-Lin
 14858.3     15.7883      Lin-Lin
 14861.1     14.7689      Lin-Lin
 14864       13.8648      Lin-Lin
 14866.8     13.0593      Lin-Lin
 14869.7     12.3383      Lin-Lin
 14872.5     11.6898      Lin-Lin
 14875.6     11.0478      Lin-Lin
 14878.8     10.4714      Lin-Lin
 14881.9     9.95205      Lin-Lin
 14885       9.48242      Lin-Lin
 14888.2     9.05616      Lin-Lin
 14892.9     8.48617      Lin-Lin
 14897.6     7.98644      Lin-Lin
 14901.7     7.59687      Lin-Lin
 14905.8     7.24637      Lin-Lin
 14909.9     6.92969      Lin-Lin
 14916.1     6.50864      Lin-Lin
 14922.3     6.14191      Lin-Lin
 14928.5     5.82012      Lin-Lin
 14934.7     5.53587      Lin-Lin
 14940.8     5.28324      Lin-Lin
 14947       5.05748      Lin-Lin
 14955.3     4.79163      Lin-Lin
 14963.5     4.55934      Lin-Lin
 14972.4     4.34057      Lin-Lin
 14981.2     4.14875      Lin-Lin
 14990.1     3.97888      Lin-Lin
 14999       3.82734      Lin-Lin
 15012.4     3.62712      Lin-Lin
 15025.9     3.45598      Lin-Lin
 15039.7     3.3039       Lin-Lin
 15054.4     3.16455      Lin-Lin
 15069.1     3.04357      Lin-Lin
 15084.3     2.93395      Lin-Lin
 15104.9     2.80595      Lin-Lin
 15125.5     2.69703      Lin-Lin
 15146.1     2.6033       Lin-Lin
 15166.7     2.52185      Lin-Lin
 15197.6     2.41797      Lin-Lin
 15222.4     2.34746      Lin-Lin
 15259.5     2.25812      Lin-Lin
 15296.5     2.18369      Lin-Lin
 15333.6     2.12098      Lin-Lin
 15370.7     2.06742      Lin-Lin
 15420.2     2.00713      Lin-Lin
 15486.1     1.94171      Lin-Lin
 15552.1     1.88914      Lin-Lin
 15626.3     1.84116      Lin-Lin
 15725.2     1.79084      Lin-Lin
 15824.1     1.7523       Lin-Lin
 15943.6     1.71861      Lin-Lin
 16037.2     1.70268      Lin-Lin
 16092.2     1.69971      Lin-Lin
 16147.1     1.7056       Lin-Lin
 16184.6     1.71979      Lin-Lin
 16210.8     1.73954      Lin-Lin
 16227.1     1.75938      Lin-Lin
 16243.4     1.78898      Lin-Lin
 16255.7     1.82145      Lin-Lin
 16263.9     1.85059      Lin-Lin
 16272       1.88844      Lin-Lin
 16280.2     1.93895      Lin-Lin
 16286.3     1.9888       Lin-Lin
 16292.4     2.05342      Lin-Lin
 16296.5     2.10781      Lin-Lin
 16300.6     2.17447      Lin-Lin
 16303.9     2.23933      Lin-Lin
 16307.1     2.31756      Lin-Lin
 16309.6     2.38739      Lin-Lin
 16312       2.46928      Lin-Lin
 16313.7     2.53204      Lin-Lin
 16316.1     2.64128      Lin-Lin
 16317.9     2.73775      Lin-Lin
 16319.8     2.84976      Lin-Lin
 16321.6     2.98098      Lin-Lin
 16323.5     3.13626      Lin-Lin
 16324.7     3.25632      Lin-Lin
 16325.9     3.39246      Lin-Lin
 16327.1     3.54785      Lin-Lin
 16328.4     3.72649      Lin-Lin
 16329.6     3.93359      Lin-Lin
 16330.4     4.09074      Lin-Lin
 16331.2     4.26606      Lin-Lin
 16332       4.46267      Lin-Lin
 16332.8     4.6844       Lin-Lin
 16333.7     4.93605      Lin-Lin
 16334.5     5.2236       Lin-Lin
 16335.1     5.46728      Lin-Lin
 16335.7     5.7392       Lin-Lin
 16336.3     6.04403      Lin-Lin
 16336.8     6.33426      Lin-Lin
 16337.5     6.73159      Lin-Lin
 16338       7.06576      Lin-Lin
 16338.4     7.43542      Lin-Lin
 16338.9     7.84533      Lin-Lin
 16339.4     8.30061      Lin-Lin
 16339.9     8.80716      Lin-Lin
 16340.3     9.37113      Lin-Lin
 16340.8     9.99995      Lin-Lin
 16341.3     10.7007      Lin-Lin
 16341.6     11.2119      Lin-Lin
 16342       11.9238      Lin-Lin
 16342.4     12.7036      Lin-Lin
 16342.8     13.5573      Lin-Lin
 16343.3     14.49        Lin-Lin
 16343.7     15.5077      Lin-Lin
 16344.1     16.6151      Lin-Lin
 16344.5     17.8175      Lin-Lin
 16344.9     19.1185      Lin-Lin
 16345.4     20.8163      Lin-Lin
 16345.9     22.6655      Lin-Lin
 16346.4     24.6687      Lin-Lin
 16346.8     26.8242      Lin-Lin
 16347.3     29.1277      Lin-Lin
 16348       32.5832      Lin-Lin
 16348.8     36.8148      Lin-Lin
 16349.8     42.5846      Lin-Lin
 16351.2     50.4928      Lin-Lin
 16351.8     53.9016      Lin-Lin
 16352.4     56.9224      Lin-Lin
 16353       59.6622      Lin-Lin
 16353.6     62.14        Lin-Lin
 16354.2     64.1584      Lin-Lin
 16354.8     65.615       Lin-Lin
 16355.4     66.4931      Lin-Lin
 16355.9     66.8808      Lin-Lin
 16356.1     66.8987      Lin-Lin
 16356.6     66.6736      Lin-Lin
 16357.1     66.099       Lin-Lin
 16357.6     65.0677      Lin-Lin
 16358.2     63.3297      Lin-Lin
 16358.8     61.089       Lin-Lin
 16359.4     58.4905      Lin-Lin
 16359.8     56.5925      Lin-Lin
 16360.6     52.4456      Lin-Lin
 16361.7     45.6862      Lin-Lin
 16363       38.0427      Lin-Lin
 16363.7     34.1896      Lin-Lin
 16364.4     30.6262      Lin-Lin
 16365       27.6969      Lin-Lin
 16365.4     25.6365      Lin-Lin
 16365.9     23.6995      Lin-Lin
 16366.3     21.8897      Lin-Lin
 16366.8     20.027       Lin-Lin
 16367.3     18.3201      Lin-Lin
 16367.8     16.764       Lin-Lin
 16368.3     15.3525      Lin-Lin
 16368.6     14.4877      Lin-Lin
 16369.1     13.3739      Lin-Lin
 16369.4     12.504       Lin-Lin
 16369.8     11.7068      Lin-Lin
 16370.2     10.9778      Lin-Lin
 16370.6     10.3115      Lin-Lin
 16371       9.70345      Lin-Lin
 16371.4     9.14823      Lin-Lin
 16371.8     8.64189      Lin-Lin
 16372.2     8.1799       Lin-Lin
 16372.6     7.75835      Lin-Lin
 16373       7.37334      Lin-Lin
 16373.5     6.93148      Lin-Lin
 16374       6.49717      Lin-Lin
 16374.6     6.11294      Lin-Lin
 16375.1     5.77181      Lin-Lin
 16375.7     5.46815      Lin-Lin
 16376.2     5.1968       Lin-Lin
 16376.8     4.9535       Lin-Lin
 16377.3     4.73451      Lin-Lin
 16377.9     4.53674      Lin-Lin
 16378.6     4.30144      Lin-Lin
