#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 54981.1     2.77103      Lin-Lin
 55001       2.99866      Lin-Lin
 55020.8     3.24565      Lin-Lin
 55040.7     3.51383      Lin-Lin
 55060.5     3.80523      Lin-Lin
 55080.3     4.12209      Lin-Lin
 55100.2     4.46686      Lin-Lin
 55120       4.84227      Lin-Lin
 55139.9     5.25133      Lin-Lin
 55159.7     5.69735      Lin-Lin
 55179.6     6.18396      Lin-Lin
 55199.4     6.71518      Lin-Lin
 55219.2     7.29537      Lin-Lin
 55239.1     7.92935      Lin-Lin
 55258.9     8.6223       Lin-Lin
 55278.8     9.37985      Lin-Lin
 55298.6     10.208       Lin-Lin
 55318.5     11.1133      Lin-Lin
 55338.3     12.1023      Lin-Lin
 55358.2     13.1821      Lin-Lin
 55378       14.3596      Lin-Lin
 55397.8     15.6418      Lin-Lin
 55417.7     17.035       Lin-Lin
 55437.5     18.5449      Lin-Lin
 55457.4     20.1754      Lin-Lin
 55480.5     22.233       Lin-Lin
 55503.7     24.4559      Lin-Lin
 55526.8     26.8415      Lin-Lin
 55560.7     30.5706      Lin-Lin
 55636       39.2376      Lin-Lin
 55665.7     42.4569      Lin-Lin
 55685.6     44.3972      Lin-Lin
 55705.4     46.1117      Lin-Lin
 55725.3     47.5547      Lin-Lin
 55745.1     48.6833      Lin-Lin
 55765       49.4714      Lin-Lin
 55784.8     49.9119      Lin-Lin
 55801.3     50.0145      Lin-Lin
 55822.8     49.793       Lin-Lin
 55844.3     49.2155      Lin-Lin
 55865.8     48.3111      Lin-Lin
 55887.3     47.1666      Lin-Lin
 55908.8     45.8235      Lin-Lin
 55930.3     44.3169      Lin-Lin
 55973.3     41.061       Lin-Lin
 56032.8     36.4431      Lin-Lin
 56072.5     33.5155      Lin-Lin
 56112.2     30.7994      Lin-Lin
 56142       28.9198      Lin-Lin
 56171.8     27.1783      Lin-Lin
 56201.5     25.5719      Lin-Lin
 56231.3     24.0944      Lin-Lin
 56261.1     22.7379      Lin-Lin
 56290.8     21.4935      Lin-Lin
 56320.6     20.3522      Lin-Lin
 56350.3     19.305       Lin-Lin
 56390       18.0401      Lin-Lin
 56429.7     16.9086      Lin-Lin
 56469.4     15.8943      Lin-Lin
 56509.1     14.9825      Lin-Lin
 56548.8     14.1605      Lin-Lin
 56588.5     13.4175      Lin-Lin
 56628.2     12.7438      Lin-Lin
 56667.8     12.1312      Lin-Lin
 56707.5     11.5727      Lin-Lin
