#LIBRARY    ENDF/B-VIII.0
#REACTION   S-32(N,EL)S-32-L0,SIG
#NUCLEUS    S-32
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 46795.2     1.43836      Lin-Lin
 46796.4     1.35176      Lin-Lin
 46798       1.22386      Lin-Lin
 46800.7     1.00413      Lin-Lin
 46801.9     0.914495     Lin-Lin
 46803.1     0.831611     Lin-Lin
 46804       0.773604     Lin-Lin
 46804.8     0.72852      Lin-Lin
 46805.6     0.687316     Lin-Lin
 46806.3     0.649998     Lin-Lin
 46807.1     0.616522     Lin-Lin
 46807.9     0.586748     Lin-Lin
 46808.6     0.560492     Lin-Lin
 46809.4     0.537525     Lin-Lin
 46810.2     0.517596     Lin-Lin
 46810.9     0.50043      Lin-Lin
 46811.7     0.485752     Lin-Lin
 46812.7     0.470292     Lin-Lin
 46813.6     0.457843     Lin-Lin
 46814.6     0.447905     Lin-Lin
 46815.6     0.440033     Lin-Lin
 46817       0.431256     Lin-Lin
 46818.5     0.425176     Lin-Lin
 46820.5     0.419767     Lin-Lin
 46823.6     0.415193     Lin-Lin
 46827.6     0.412241     Lin-Lin
 46837.5     0.409248     Lin-Lin
 46862       0.406667     Lin-Lin
 46934.9     0.404368     Lin-Lin
 51108.4     0.335576     Lin-Lin
 54566.6     0.276266     Lin-Lin
 62087.5     0.143535     Lin-Lin
 63534.2     0.118706     Lin-Lin
 64656.2     0.0999805    Lin-Lin
 65183.7     0.0913999    Lin-Lin
 65991.7     0.0785589    Lin-Lin
 66703.4     0.0676909    Lin-Lin
 67403       0.0574536    Lin-Lin
 67869.3     0.0509097    Lin-Lin
 68219.1     0.0461433    Lin-Lin
 68769.1     0.0390115    Lin-Lin
 69103.4     0.0348748    Lin-Lin
 69437.8     0.0309078    Lin-Lin
 69688.6     0.0280355    Lin-Lin
 70023       0.0243936    Lin-Lin
 70273.7     0.0218012    Lin-Lin
 70524.5     0.0193201    Lin-Lin
 70691.7     0.0177402    Lin-Lin
 70858.9     0.016219     Lin-Lin
 71067.9     0.0144075    Lin-Lin
 71235       0.013026     Lin-Lin
 71402.2     0.0117099    Lin-Lin
 71527.6     0.0107624    Lin-Lin
 71694.8     0.00956573   Lin-Lin
 71820.2     0.00871639   Lin-Lin
 71945.6     0.00790615   Lin-Lin
 72071       0.0071411    Lin-Lin
 72196.4     0.00641667   Lin-Lin
 72280       0.00595935   Lin-Lin
 72363.5     0.00552217   Lin-Lin
 72447.1     0.00510545   Lin-Lin
 72530.7     0.00470953   Lin-Lin
 72614.3     0.00433477   Lin-Lin
 72697.9     0.00398151   Lin-Lin
 72781.5     0.00365009   Lin-Lin
 72865.1     0.0033409    Lin-Lin
 72948.7     0.00305429   Lin-Lin
 73032.3     0.00279033   Lin-Lin
 73095       0.00260774   Lin-Lin
 73157.7     0.00243841   Lin-Lin
 73220.4     0.00228286   Lin-Lin
 73283.1     0.0021406    Lin-Lin
 73345.8     0.00201245   Lin-Lin
 73408.5     0.00189793   Lin-Lin
 73471.1     0.00179787   Lin-Lin
 73533.8     0.00171176   Lin-Lin
 73575.6     0.00166251   Lin-Lin
 73617.4     0.00161974   Lin-Lin
 73659.2     0.00158351   Lin-Lin
 73701       0.00155388   Lin-Lin
 73742.8     0.0015309    Lin-Lin
 73784.6     0.00151461   Lin-Lin
 73826.4     0.00150491   Lin-Lin
 73868.2     0.0015022    Lin-Lin
 73910       0.00150652   Lin-Lin
 73951.8     0.00151759   Lin-Lin
 73993.6     0.00153565   Lin-Lin
 74035.4     0.0015607    Lin-Lin
 74090.4     0.00160459   Lin-Lin
 74145.4     0.00166074   Lin-Lin
 74200.4     0.00172965   Lin-Lin
 74255.4     0.00181103   Lin-Lin
 74310.4     0.00190544   Lin-Lin
 74365.4     0.00201261   Lin-Lin
 74420.4     0.00213308   Lin-Lin
 74475.4     0.00226658   Lin-Lin
 74530.4     0.00241368   Lin-Lin
 74585.4     0.00257409   Lin-Lin
 74640.3     0.00274838   Lin-Lin
 74695.3     0.00293628   Lin-Lin
 74750.3     0.00313838   Lin-Lin
 74842       0.00350708   Lin-Lin
 74915.3     0.00383026   Lin-Lin
 74988.6     0.00417936   Lin-Lin
 75062       0.00455474   Lin-Lin
 75135.3     0.00495679   Lin-Lin
 75208.6     0.00538589   Lin-Lin
 75282       0.00584244   Lin-Lin
 75355.3     0.00632681   Lin-Lin
 75428.6     0.00683942   Lin-Lin
 75501.9     0.00738067   Lin-Lin
 75575.3     0.00795097   Lin-Lin
 75648.6     0.00855075   Lin-Lin
 75758.6     0.00950858   Lin-Lin
 75868.6     0.0105311    Lin-Lin
 75978.6     0.011628     Lin-Lin
 76088.6     0.0127924    Lin-Lin
 76198.5     0.0140344    Lin-Lin
 76308.5     0.0153468    Lin-Lin
 76418.5     0.0167402    Lin-Lin
 76510.2     0.0179583    Lin-Lin
 76675.2     0.0202931    Lin-Lin
 76821.8     0.0225229    Lin-Lin
 76968.5     0.024903     Lin-Lin
 77115.1     0.0274378    Lin-Lin
 77261.8     0.030132     Lin-Lin
 77408.4     0.03299      Lin-Lin
 77555.1     0.0360167    Lin-Lin
 77701.7     0.039217     Lin-Lin
 77848.4     0.0425961    Lin-Lin
 77995.1     0.0461591    Lin-Lin
 78141.7     0.0499114    Lin-Lin
 78288.4     0.0538587    Lin-Lin
 78435       0.0580067    Lin-Lin
 78581.7     0.0623612    Lin-Lin
 78790.6     0.0689487    Lin-Lin
 78977.6     0.0751976    Lin-Lin
 79164.6     0.0818503    Lin-Lin
 79351.6     0.0888605    Lin-Lin
 79538.6     0.0963529    Lin-Lin
 79725.6     0.104143     Lin-Lin
 79974.9     0.115286     Lin-Lin
 80224.2     0.12724      Lin-Lin
 80473.5     0.140049     Lin-Lin
 80722.8     0.153757     Lin-Lin
 80972.1     0.16841      Lin-Lin
 81221.4     0.184058     Lin-Lin
 81470.7     0.200752     Lin-Lin
 81720.1     0.218549     Lin-Lin
 81969.4     0.237506     Lin-Lin
 82218.7     0.257685     Lin-Lin
 82468       0.27915      Lin-Lin
 82717.3     0.301972     Lin-Lin
 82981.3     0.327694     Lin-Lin
 83245.3     0.355108     Lin-Lin
 83509.2     0.384312     Lin-Lin
 83773.2     0.41541      Lin-Lin
 84037.2     0.448509     Lin-Lin
 84301.2     0.483729     Lin-Lin
 84565.1     0.521191     Lin-Lin
 84829.1     0.561025     Lin-Lin
 85063.8     0.59854      Lin-Lin
 85298.4     0.638149     Lin-Lin
 85533.1     0.679958     Lin-Lin
 85767.7     0.724086     Lin-Lin
 86002.3     0.770655     Lin-Lin
 86237       0.819795     Lin-Lin
 86471.6     0.871644     Lin-Lin
 86808.9     0.951449     Lin-Lin
 87116.9     1.02941      Lin-Lin
 87424.9     1.11356      Lin-Lin
 87732.9     1.20326      Lin-Lin
 88040.8     1.30009      Lin-Lin
 88348.8     1.4033       Lin-Lin
 88700.8     1.53135      Lin-Lin
 89052.7     1.66906      Lin-Lin
 89404.7     1.81939      Lin-Lin
 89756.7     1.98107      Lin-Lin
 90108.6     2.1576       Lin-Lin
 90226       2.21878      Lin-Lin
 90577.9     2.41456      Lin-Lin
 90929.9     2.62667      Lin-Lin
 91281.9     2.85744      Lin-Lin
 91633.9     3.10573      Lin-Lin
 91985.8     3.37682      Lin-Lin
 92337.8     3.6684       Lin-Lin
 92689.8     3.98666      Lin-Lin
 93041.7     4.32887      Lin-Lin
 93393.7     4.70222      Lin-Lin
 93745.7     5.10346      Lin-Lin
 94097.6     5.54091      Lin-Lin
 94449.6     6.0108       Lin-Lin
 94801.6     6.52293      Lin-Lin
 95153.5     7.07328      Lin-Lin
 95505.5     7.67471      Lin-Lin
 95740.2     8.1037       Lin-Lin
 95974.8     8.56048      Lin-Lin
 96092.1     8.79725      Lin-Lin
 96385.4     9.44587      Lin-Lin
 96605.4     9.99965      Lin-Lin
 96737.4     10.3827      Lin-Lin
 96866.5     10.8286      Lin-Lin
 96936.9     11.1248      Lin-Lin
 97007.2     11.4805      Lin-Lin
 97054.2     11.7732      Lin-Lin
 97101.1     12.1329      Lin-Lin
 97136.3     12.467       Lin-Lin
 97170.9     12.8726      Lin-Lin
 97193.8     13.2023      Lin-Lin
 97216.7     13.5974      Lin-Lin
 97239.5     14.0785      Lin-Lin
 97256.7     14.515       Lin-Lin
 97273.9     15.0375      Lin-Lin
 97291       15.6716      Lin-Lin
 97302.5     16.1736      Lin-Lin
 97313.9     16.7547      Lin-Lin
 97325.3     17.4322      Lin-Lin
 97336.9     18.2414      Lin-Lin
 97345.7     18.9581      Lin-Lin
 97354.5     19.7817      Lin-Lin
 97363.3     20.7335      Lin-Lin
 97372.1     21.8394      Lin-Lin
 97378       22.6779      Lin-Lin
 97383.9     23.6103      Lin-Lin
 97389.7     24.6494      Lin-Lin
 97395.6     25.8099      Lin-Lin
 97401.4     27.1078      Lin-Lin
 97407.3     28.5611      Lin-Lin
 97413.2     30.1888      Lin-Lin
 97419       32.0109      Lin-Lin
 97424.9     34.0463      Lin-Lin
 97430.2     36.0746      Lin-Lin
 97435.5     38.2974      Lin-Lin
 97440.8     40.717       Lin-Lin
 97446       43.3257      Lin-Lin
 97454       47.5435      Lin-Lin
 97471.1     57.1282      Lin-Lin
 97477.1     60.1482      Lin-Lin
 97481.1     61.9193      Lin-Lin
 97485.1     63.4296      Lin-Lin
 97489.1     64.6256      Lin-Lin
 97493.1     65.4617      Lin-Lin
 97497.1     65.9045      Lin-Lin
 97499.3     65.973       Lin-Lin
 97502.9     65.8072      Lin-Lin
 97506.3     65.346       Lin-Lin
 97510.8     64.2944      Lin-Lin
 97515.3     62.7919      Lin-Lin
 97520       60.8573      Lin-Lin
 97524.7     58.5522      Lin-Lin
 97531.8     54.694       Lin-Lin
 97546       46.6052      Lin-Lin
 97553.2     42.8004      Lin-Lin
 97560.2     39.3243      Lin-Lin
 97565       37.2102      Lin-Lin
 97569.7     35.2602      Lin-Lin
 97574.4     33.471       Lin-Lin
 97579.1     31.8358      Lin-Lin
 97583.9     30.3452      Lin-Lin
 97588.6     28.9888      Lin-Lin
 97593.3     27.7556      Lin-Lin
 97600.4     26.1133      Lin-Lin
 97607.5     24.6895      Lin-Lin
 97614.6     23.4531      Lin-Lin
 97621.7     22.377       Lin-Lin
 97628.7     21.4378      Lin-Lin
 97634.9     20.7192      Lin-Lin
 97642.4     19.9393      Lin-Lin
 97650       19.2581      Lin-Lin
 97661.3     18.3893      Lin-Lin
 97672.7     17.6693      Lin-Lin
 97684       17.0688      Lin-Lin
 97697.2     16.4887      Lin-Lin
 97708.6     16.0744      Lin-Lin
 97725.6     15.5661      Lin-Lin
 97742.6     15.1639      Lin-Lin
 97759.6     14.8435      Lin-Lin
 97782.3     14.5097      Lin-Lin
 97804.9     14.2571      Lin-Lin
 97838.9     13.9877      Lin-Lin
 97873       13.8105      Lin-Lin
 97918.3     13.6713      Lin-Lin
 97986.3     13.5869      Lin-Lin
 98009       13.581       Lin-Lin
 98077       13.6108      Lin-Lin
 98205.5     13.7793      Lin-Lin
 98386.9     14.1407      Lin-Lin
 98695.4     14.8929      Lin-Lin
 99258.2     16.4233      Lin-Lin
 100609      20.2384      Lin-Lin
 101209      21.8195      Lin-Lin
 101659      22.9019      Lin-Lin
 102110      23.8468      Lin-Lin
 102425      24.4229      Lin-Lin
 102830      25.0589      Lin-Lin
 103160      25.4637      Lin-Lin
 103460      25.7481      Lin-Lin
 103911      26.0154      Lin-Lin
