#LIBRARY    ENDF/B-VIII.0
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 4352.99     13.9235      Lin-Lin
 4428.26     13.2106      Lin-Lin
 4503.53     12.5791      Lin-Lin
 4597.62     11.8867      Lin-Lin
 4691.7      11.2803      Lin-Lin
 4804.6      10.65        Lin-Lin
 4917.5      10.1055      Lin-Lin
 5025.7      9.65328      Lin-Lin
 5157.42     9.17958      Lin-Lin
 5291.49     8.76397      Lin-Lin
 5397.34     8.47958      Lin-Lin
 5538.46     8.15827      Lin-Lin
 5714.87     7.81714      Lin-Lin
 5902.84     7.51121      Lin-Lin
 6102.98     7.21979      Lin-Lin
 6320.67     6.95286      Lin-Lin
 6573.4      6.69302      Lin-Lin
 6888.34     6.41776      Lin-Lin
 7182.85     6.20258      Lin-Lin
 7553.96     5.98001      Lin-Lin
 7980.48     5.76227      Lin-Lin
 8440.46     5.57294      Lin-Lin
 9041.25     5.36989      Lin-Lin
 9666.8      5.20168      Lin-Lin
 10478.7     5.02733      Lin-Lin
 11331.2     4.88352      Lin-Lin
 12345.3     4.74544      Lin-Lin
 13606.3     4.61239      Lin-Lin
 15182.4     4.48404      Lin-Lin
 17073.9     4.36832      Lin-Lin
 19416.5     4.2614       Lin-Lin
 21171.9     4.20134      Lin-Lin
 24811.1     4.13091      Lin-Lin
 29575.3     4.07565      Lin-Lin
 35173       4.04335      Lin-Lin
 35339.2     4.05035      Lin-Lin
 35354.1     4.06137      Lin-Lin
 35360.4     4.07914      Lin-Lin
 35364.1     4.10641      Lin-Lin
 35367.4     4.15587      Lin-Lin
 35369.6     4.21014      Lin-Lin
 35371.8     4.28813      Lin-Lin
 35373.6     4.37031      Lin-Lin
 35375.3     4.47155      Lin-Lin
 35377.9     4.6567       Lin-Lin
 35383.7     5.12039      Lin-Lin
 35385.8     5.25731      Lin-Lin
 35387.2     5.32401      Lin-Lin
 35388.7     5.3677       Lin-Lin
 35390       5.38043      Lin-Lin
 35391.5     5.36351      Lin-Lin
 35392.9     5.3194       Lin-Lin
